p3,a,b,p1,p2,F1,F2,F3,F3_med,F3_95,F4
0.3,0.6,0.6,0.18,0.18,0.0743,52924.5,911.9,1778.9,3669.9,53.0
0.3,0.6,0.7,0.18,0.21,0.0721,52952.5,875.1,1734.0,3597.6,52.7
0.3,0.6,0.8,0.18,0.24,0.0697,53030.0,835.2,1658.5,3487.9,53.7
0.3,0.6,0.9,0.18,0.27,0.0693,53117.0,827.6,1640.1,3429.4,56.0
0.3,0.6,1.0,0.18,0.3,0.0674,52994.3,798.1,1583.6,3337.4,54.4
0.3,0.7,0.7,0.21,0.21,0.073,52995.5,875.4,1730.9,3617.3,53.3
0.3,0.7,0.8,0.21,0.24,0.0709,52903.5,847.2,1666.4,3483.5,51.9
0.3,0.7,0.9,0.21,0.27,0.069,52973.3,810.0,1625.4,3389.1,54.1
0.3,0.7,1.0,0.21,0.3,0.0686,53054.0,790.8,1587.9,3382.0,55.0
0.3,0.8,0.8,0.24,0.24,0.0714,52928.7,818.2,1662.8,3503.8,53.1
0.3,0.8,0.9,0.24,0.27,0.0704,53024.4,816.2,1639.0,3465.6,55.4
0.3,0.8,1.0,0.24,0.3,0.0684,53019.5,778.1,1579.3,3332.5,54.2
0.3,0.9,0.9,0.27,0.27,0.0707,52923.9,810.5,1633.7,3434.7,51.9
0.3,0.9,1.0,0.27,0.3,0.0689,53020.1,768.1,1579.1,3315.0,54.4
0.3,1.0,1.0,0.3,0.3,0.0686,53046.6,759.7,1572.6,3347.4,55.1
0.4,0.1,0.1,0.04,0.04,0.0714,53021.2,963.5,1773.8,3660.2,53.9
0.4,0.1,0.2,0.04,0.08,0.0703,53052.2,922.3,1724.4,3547.7,55.7
0.4,0.1,0.3,0.04,0.12,0.068,53035.7,875.4,1637.7,3439.6,55.0
0.4,0.1,0.4,0.04,0.16,0.0665,53093.7,834.8,1586.8,3353.6,56.3
0.4,0.1,0.5,0.04,0.2,0.0656,53111.2,808.8,1526.4,3279.8,55.4
0.4,0.1,0.6,0.04,0.24,0.0635,53103.7,777.2,1496.7,3207.7,56.3
0.4,0.1,0.7,0.04,0.28,0.0631,53241.2,759.7,1458.6,3144.2,58.4
0.4,0.1,0.8,0.04,0.32,0.0616,53101.6,733.1,1412.8,3059.1,54.4
0.4,0.1,0.9,0.04,0.36,0.0608,53200.9,701.6,1376.7,2988.3,58.6
0.4,0.1,1.0,0.04,0.4,0.0599,53268.9,685.8,1347.7,2931.1,59.8
0.4,0.2,0.2,0.08,0.08,0.0712,53075.0,901.5,1700.8,3549.5,56.4
0.4,0.2,0.3,0.08,0.12,0.069,53072.5,865.1,1649.9,3461.4,55.6
0.4,0.2,0.4,0.08,0.16,0.0673,53077.5,826.1,1580.2,3354.8,55.7
0.4,0.2,0.5,0.08,0.2,0.0665,53128.1,804.1,1544.6,3291.3,56.5
0.4,0.2,0.6,0.08,0.24,0.0634,53086.5,758.6,1467.9,3140.1,55.3
0.4,0.2,0.7,0.08,0.28,0.0631,53104.1,747.3,1472.7,3132.1,55.2
0.4,0.2,0.8,0.08,0.32,0.0621,53181.9,733.3,1432.9,3048.9,56.7
0.4,0.2,0.9,0.08,0.36,0.0616,53203.2,718.0,1414.5,3008.7,56.8
0.4,0.2,1.0,0.08,0.4,0.0598,53218.7,688.0,1361.6,2916.6,59.4
0.4,0.3,0.3,0.12,0.12,0.07,53065.7,858.8,1673.6,3503.0,54.4
0.4,0.3,0.4,0.12,0.16,0.0679,53129.8,831.1,1614.0,3374.9,56.2
