p3,a,b,p1,p2,F1,F2,F3,F3_med,F3_95,F4
0.400,0.500,0.500,0.200,0.200,0.0673,53077.8,782.5,1558.1,3277.1,55.3
0.400,0.500,0.600,0.200,0.240,0.0670,53080.1,759.8,1518.8,3253.7,55.1
0.400,0.500,0.700,0.200,0.280,0.0644,53107.4,723.9,1453.1,3125.1,55.8
0.400,0.500,0.800,0.200,0.320,0.0639,53125.1,705.9,1433.9,3069.3,56.6
0.400,0.500,0.900,0.200,0.360,0.0622,53170.9,694.3,1407.2,3022.3,56.1
0.400,0.500,1.000,0.200,0.400,0.0612,53106.3,673.3,1368.4,2988.8,55.3
0.400,0.600,0.600,0.240,0.240,0.0668,53140.2,750.3,1527.6,3269.1,55.2
0.400,0.600,0.700,0.240,0.280,0.0656,53107.4,726.8,1482.1,3181.8,55.9
0.400,0.600,0.800,0.240,0.320,0.0642,53138.2,707.9,1453.5,3115.0,56.0
0.400,0.600,0.900,0.240,0.360,0.0627,53129.5,693.0,1414.1,3073.3,55.8
0.400,0.600,1.000,0.240,0.400,0.0618,53198.0,669.1,1380.7,2989.7,56.3
0.400,0.700,0.700,0.280,0.280,0.0651,52998.8,714.4,1478.4,3179.1,55.2
0.400,0.700,0.800,0.280,0.320,0.0641,53007.8,697.0,1435.7,3094.8,53.8
0.400,0.700,0.900,0.280,0.360,0.0632,53111.8,671.4,1405.0,3043.3,56.2
0.400,0.700,1.000,0.280,0.400,0.0623,53165.6,669.5,1384.5,2991.2,57.0
0.400,0.800,0.800,0.320,0.320,0.0643,53085.7,707.1,1469.1,3145.3,54.8
0.400,0.800,0.900,0.320,0.360,0.0640,53112.8,688.9,1419.2,3082.5,54.5
0.400,0.800,1.000,0.320,0.400,0.0626,53117.3,651.3,1386.7,3013.7,56.2
0.400,0.900,0.900,0.360,0.360,0.0638,53114.0,666.4,1409.3,3057.1,55.4
0.400,0.900,1.000,0.360,0.400,0.0629,53138.2,658.7,1382.8,3022.4,56.0
0.400,1.000,1.000,0.400,0.400,0.0632,53055.0,645.0,1379.1,2994.7,55.1
0.500,0.100,0.100,0.050,0.050,0.0650,53100.3,800.9,1523.9,3236.6,54.4
0.500,0.100,0.200,0.050,0.100,0.0634,53080.7,779.3,1482.5,3162.3,55.7
0.500,0.100,0.300,0.050,0.150,0.0629,53262.3,770.8,1486.5,3164.6,58.2
0.500,0.100,0.400,0.050,0.200,0.0618,53126.1,732.7,1431.3,3063.6,55.7
0.500,0.100,0.500,0.050,0.250,0.0602,53219.2,697.3,1389.2,2970.2,57.7
0.500,0.100,0.600,0.050,0.300,0.0598,53146.1,684.5,1347.6,2927.7,56.3
0.500,0.100,0.700,0.050,0.350,0.0581,53266.4,655.8,1316.9,2899.9,59.0
0.500,0.100,0.800,0.050,0.400,0.0582,53241.1,647.6,1290.2,2819.6,58.3
