p3,a,b,p1,p2,F1,F2,F3,F3_med,F3_95,F4
0.500,0.100,0.200,0.050,0.100,0.0641,53152.8,771.7,1483.2,3180.8,56.3
0.500,0.100,0.300,0.050,0.150,0.0622,53187.1,757.5,1443.8,3116.9,57.9
0.500,0.100,0.400,0.050,0.200,0.0610,53209.8,707.9,1404.9,3038.0,56.5
0.500,0.100,0.500,0.050,0.250,0.0606,53166.5,695.8,1370.8,3001.5,56.0
0.500,0.100,0.600,0.050,0.300,0.0591,53268.8,683.1,1350.5,2916.1,57.4
0.500,0.100,0.700,0.050,0.350,0.0588,53318.2,681.9,1345.3,2906.9,59.4
0.500,0.100,0.800,0.050,0.400,0.0578,53279.8,644.2,1276.5,2793.7,60.3
0.500,0.100,0.900,0.050,0.450,0.0563,53320.3,638.1,1253.7,2774.8,59.0
0.500,0.100,1.000,0.050,0.500,0.0559,53194.8,617.0,1239.6,2726.6,56.8
0.500,0.200,0.200,0.100,0.100,0.0638,53159.0,765.8,1491.7,3202.6,56.1
0.500,0.200,0.300,0.100,0.150,0.0628,53018.8,733.9,1440.6,3079.3,54.8
0.500,0.200,0.400,0.100,0.200,0.0620,53149.8,719.8,1425.7,3064.2,56.3
0.500,0.200,0.500,0.100,0.250,0.0608,53172.2,687.3,1363.5,2952.8,57.9
0.500,0.200,0.600,0.100,0.300,0.0603,53218.0,678.9,1345.7,2966.0,56.7
0.500,0.200,0.700,0.100,0.350,0.0588,53275.4,653.0,1320.6,2881.2,58.4
0.500,0.200,0.800,0.100,0.400,0.0574,53272.7,647.4,1296.6,2845.0,58.8
0.500,0.200,0.900,0.100,0.450,0.0570,53252.3,624.9,1272.3,2799.8,59.6
0.500,0.200,1.000,0.100,0.500,0.0562,53337.4,611.1,1239.4,2754.8,60.6
0.500,0.300,0.300,0.150,0.150,0.0637,53126.1,737.0,1466.2,3148.8,56.5
0.500,0.300,0.400,0.150,0.200,0.0624,53163.1,717.6,1442.1,3118.0,55.7
0.500,0.300,0.500,0.150,0.250,0.0611,53080.4,690.4,1384.0,2995.7,54.4
0.500,0.300,0.600,0.150,0.300,0.0600,53159.2,676.0,1350.2,2909.0,57.9
0.500,0.300,0.700,0.150,0.350,0.0586,53270.5,650.7,1310.5,2874.2,58.0
0.500,0.300,0.800,0.150,0.400,0.0582,53269.6,631.7,1299.9,2838.3,57.8
0.500,0.300,0.900,0.150,0.450,0.0582,53248.9,629.0,1275.0,2808.4,59.1
0.500,0.300,1.000,0.150,0.500,0.0570,53245.6,597.2,1230.7,2732.4,57.7
0.500,0.400,0.400,0.200,0.200,0.0632,53120.6,705.6,1426.3,3072.5,55.1
0.500,0.400,0.500,0.200,0.250,0.0620,53233.9,684.0,1396.9,2999.1,56.3
0.500,0.400,0.600,0.200,0.300,0.0606,53197.6,668.8,1358.8,2961.0,56.6
0.500,0.400,0.700,0.200,0.350,0.0599,53181.1,648.3,1339.0,2895.2,56.4
0.500,0.400,0.800,0.200,0.400,0.0585,53223.3,630.7,1293.3,2846.6,57.8
0.500,0.400,0.900,0.200,0.450,0.0583,53181.2,618.7,1280.3,2795.2,56.8
0.500,0.400,1.000,0.200,0.500,0.0572,53295.9,609.1,1255.4,2774.8,59.3
0.500,0.500,0.500,0.250,0.250,0.0626,53095.3,672.1,1395.5,3046.5,56.0
0.500,0.500,0.600,0.250,0.300,0.0615,53112.4,659.3,1356.7,2965.0,56.6
0.500,0.500,0.700,0.250,0.350,0.0602,53154.7,645.3,1330.3,2908.7,55.8
0.500,0.500,0.800,0.250,0.400,0.0588,53065.2,623.7,1294.4,2816.8,55.2
0.500,0.500,0.900,0.250,0.450,0.0584,53186.2,626.7,1279.9,2802.2,57.1
0.500,0.500,1.000,0.250,0.500,0.0573,53200.3,588.9,1244.5,2730.8,56.9
0.500,0.600,0.600,0.300,0.300,0.0614,53131.4,650.6,1363.6,2982.8,55.0
0.500,0.600,0.700,0.300,0.350,0.0608,53125.0,642.6,1341.3,2915.9,56.4
0.500,0.600,0.800,0.300,0.400,0.0599,53153.6,634.3,1321.4,2894.4,55.9
0.500,0.600,0.900,0.300,0.450,0.0589,53282.4,613.7,1280.4,2819.0,57.9
0.500,0.600,1.000,0.300,0.500,0.0579,53264.1,595.6,1254.2,2772.1,58.3
0.500,0.700,0.700,0.350,0.350,0.0607,53098.6,634.9,1337.2,2934.7,54.8
0.500,0.700,0.800,0.350,0.400,0.0601,53126.6,624.0,1318.9,2886.9,55.6
0.500,0.700,0.900,0.350,0.450,0.0583,53188.1,606.1,1276.2,2797.1,57.4
0.500,0.700,1.000,0.350,0.500,0.0584,53186.4,596.9,1255.4,2764.8,56.7
0.500,0.800,0.800,0.400,0.400,0.0604,53131.9,625.3,1324.0,2877.2,56.3
0.500,0.800,0.900,0.400,0.450,0.0590,53158.3,607.8,1286.3,2840.1,56.0
0.500,0.800,1.000,0.400,0.500,0.0584,53191.4,593.5,1269.4,2815.1,56.2
0.500,0.900,0.900,0.450,0.450,0.0593,53139.2,615.4,1288.4,2825.6,54.7
0.500,0.900,1.000,0.450,0.500,0.0593,53161.4,597.0,1276.0,2811.9,57.1
0.500,1.000,1.000,0.500,0.500,0.0594,53183.0,593.6,1274.0,2816.4,55.7
0.600,0.100,0.100,0.060,0.060,0.0603,53241.8,684.0,1358.9,2964.7,57.4
0.600,0.100,0.200,0.060,0.120,0.0586,53153.4,678.7,1341.9,2896.2,56.5
0.600,0.100,0.300,0.060,0.180,0.0583,53291.6,663.4,1325.0,2886.4,59.6
0.600,0.100,0.400,0.060,0.240,0.0579,53286.0,645.1,1302.5,2837.1,59.5
0.600,0.100,0.500,0.060,0.300,0.0571,53319.6,620.0,1255.8,2764.0,59.7
0.600,0.100,0.600,0.060,0.360,0.0560,53217.2,623.2,1238.3,2717.9,57.0
0.600,0.100,0.700,0.060,0.420,0.0556,53340.4,606.6,1216.3,2691.4,61.1
0.600,0.100,0.800,0.060,0.480,0.0545,53332.3,582.0,1193.2,2655.8,60.6
0.600,0.100,0.900,0.060,0.540,0.0537,53361.4,574.9,1174.6,2613.3,60.4
0.600,0.100,1.000,0.060,0.600,0.0533,53296.6,556.2,1161.0,2572.4,60.5
0.600,0.200,0.200,0.120,0.120,0.0605,53211.3,676.2,1355.3,2919.1,58.0
0.600,0.200,0.300,0.120,0.180,0.0590,53215.9,654.2,1325.8,2900.0,57.1
